"fk_vtl_id","unixtime","coordinate","vel_mph"
-60,1202503460,"(-122.0952,37.6465)",66
-60,1202503506,"(-122.0951,37.6465)",65
-60,1202503550,"(-122.0952,37.6465)",51
-60,1202503640,"(-122.0952,37.6465)",52
-60,1202503849,"(-122.0951,37.6465)",65
-60,1202504090,"(-122.0951,37.6465)",58
-60,1202504093,"(-122.0952,37.6465)",58
-60,1202504112,"(-122.0952,37.6465)",65
-60,1202504200,"(-122.0952,37.6465)",63
-60,1202504204,"(-122.0952,37.6465)",68
-60,1202504253,"(-122.0952,37.6465)",63
-60,1202504420,"(-122.0952,37.6465)",56
-60,1202504446,"(-122.0952,37.6465)",62
-60,1202504490,"(-122.0952,37.6465)",56
-60,1202504538,"(-122.0951,37.6465)",73
-60,1202504641,"(-122.0952,37.6465)",57
-60,1202504834,"(-122.0951,37.6465)",59
-60,1202504897,"(-122.0952,37.6465)",62
-60,1202504938,"(-122.0952,37.6465)",50
-60,1202505148,"(-122.0952,37.6465)",63
-60,1202505254,"(-122.0951,37.6465)",63
-60,1202505266,"(-122.0952,37.6465)",61
-60,1202505299,"(-122.0951,37.6465)",65
-60,1202505317,"(-122.0951,37.6465)",56
-60,1202505452,"(-122.0952,37.6465)",53
-60,1202505543,"(-122.0952,37.6465)",60
-60,1202505559,"(-122.0952,37.6465)",58
-60,1202505567,"(-122.0952,37.6465)",68
-60,1202505574,"(-122.0951,37.6465)",71
-60,1202505605,"(-122.0951,37.6465)",72
-60,1202505688,"(-122.0952,37.6465)",49
-60,1202506168,"(-122.0952,37.6465)",58
-60,1202506210,"(-122.0952,37.6465)",59
-60,1202506364,"(-122.0951,37.6465)",67
-60,1202506389,"(-122.0952,37.6465)",63
-60,1202506404,"(-122.0952,37.6465)",61
-60,1202506461,"(-122.0952,37.6465)",55
-60,1202506668,"(-122.0952,37.6465)",58
-60,1202506685,"(-122.0951,37.6465)",67
-60,1202506692,"(-122.0951,37.6465)",63
-60,1202506767,"(-122.0952,37.6465)",55
-60,1202506773,"(-122.0952,37.6465)",57
-60,1202506915,"(-122.0951,37.6465)",61
-60,1202506927,"(-122.0952,37.6465)",66
-60,1202507024,"(-122.0951,37.6465)",65
-60,1202507024,"(-122.0952,37.6465)",64
-60,1202507048,"(-122.0951,37.6465)",61
-60,1202507095,"(-122.0952,37.6465)",58
-60,1202507162,"(-122.0952,37.6465)",56
-60,1202507205,"(-122.0951,37.6465)",63
-60,1202507284,"(-122.0952,37.6465)",57
-60,1202507405,"(-122.0951,37.6465)",69
-60,1202507426,"(-122.095,37.6465)",68
-60,1202507507,"(-122.0952,37.6465)",50
-60,1202507523,"(-122.0952,37.6465)",51
-60,1202507630,"(-122.0952,37.6465)",55
-60,1202507748,"(-122.0951,37.6465)",62
-60,1202507756,"(-122.0952,37.6465)",59
-60,1202507840,"(-122.0952,37.6465)",61
-60,1202507885,"(-122.0952,37.6465)",56
-60,1202507889,"(-122.0952,37.6465)",53
-60,1202507959,"(-122.0952,37.6465)",57
-60,1202507971,"(-122.0951,37.6465)",64
-60,1202507987,"(-122.0951,37.6465)",64
-60,1202508018,"(-122.0951,37.6465)",76
-60,1202508088,"(-122.0951,37.6465)",65
-60,1202508173,"(-122.0951,37.6465)",68
-60,1202508228,"(-122.0952,37.6465)",59
-60,1202508306,"(-122.0952,37.6465)",54
-60,1202508450,"(-122.0952,37.6465)",49
-60,1202508476,"(-122.0952,37.6465)",62
-60,1202508480,"(-122.0952,37.6465)",59
-60,1202508573,"(-122.0952,37.6465)",60
-60,1202508605,"(-122.0952,37.6465)",62
-60,1202508668,"(-122.0952,37.6465)",58
-60,1202508716,"(-122.0952,37.6465)",61
-60,1202508787,"(-122.0951,37.6465)",67
-60,1202508801,"(-122.0952,37.6465)",61
-60,1202508886,"(-122.0952,37.6465)",61
-60,1202508887,"(-122.0952,37.6465)",60
-60,1202508973,"(-122.0951,37.6465)",64
